run_id,pipeline,encoder,revision,max_length,tag_scheme,head,decoder,seed,best_epoch,micro_precision,micro_recall,micro_f1,macro_f1,org_f1,name_f1,geo_f1,eval_documents_per_second,peak_gpu_memory_gib,status,run_path
b00_official_s1-offsetfix-mlflow-r2,official_reference,distilbert/distilbert-base-multilingual-cased,45c032ab32cc946ad88a166f7cb282f58c753c2e,256,bio,softmax,greedy,42,2,0.7868197059582152,0.7925435177968303,0.7896712399689361,0.7901586530207734,0.7515286270150084,0.8009499136442141,0.8179974184030978,251.451928612952,0.0,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/b00_official_s1-offsetfix-mlflow-r2
b01_reference_s1-offsetfix-mlflow-r2,uzner,distilbert/distilbert-base-multilingual-cased,45c032ab32cc946ad88a166f7cb282f58c753c2e,256,bio,softmax,greedy,42,5,0.805958843580356,0.8293063133281372,0.8174659069082527,0.8179728627697571,0.7781644989924895,0.8293625241468126,0.8463915651699692,328.6401381790212,2.549757957458496,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/b01_reference_s1-offsetfix-mlflow-r2
e10_xlmr_base_bio_s1-offsetfix-mlflow-r2,uzner,FacebookAI/xlm-roberta-base,e73636d4f797dec63c3081bb6ed5c7b0bb3f2089,512,bio,softmax,greedy,42,5,0.8420256991685563,0.8682774746687452,0.8549501151189561,0.8558391100471597,0.8214090660841071,0.872254211985498,0.8738540520718738,294.83587308435784,5.237155914306641,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/e10_xlmr_base_bio_s1-offsetfix-mlflow-r2
e11_mdeberta_v3_base_bio_s1-offsetfix-mlflow-r2,uzner,microsoft/mdeberta-v3-base,a0484667b22365f84929a935b5e50a51f71f159d,512,bio,softmax,greedy,42,5,0.8685374794589812,0.8925694985710574,0.8803895188673201,0.8815000939190866,0.84781405644715,0.90590248075278,0.8907837445573294,142.79052055356323,7.009801387786865,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/e11_mdeberta_v3_base_bio_s1-offsetfix-mlflow-r2
e12_mmbert_base_bio_s1-offsetfix-mlflow-r2,uzner,jhu-clsp/mmBERT-base,c5955035435e2bf121cde7f3c8863ef52ff35d82,512,bio,softmax,greedy,42,5,0.8679974243399872,0.8755520914523253,0.8717583909978658,0.8728469659079187,0.8374164810690423,0.89556135770235,0.8855630589523636,178.09014223021038,6.104000091552734,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/e12_mmbert_base_bio_s1-offsetfix-mlflow-r2
a20_xlmr_base_bio_constrained_s1-offsetfix-mlflow-r2,uzner,FacebookAI/xlm-roberta-base,e73636d4f797dec63c3081bb6ed5c7b0bb3f2089,512,bio,softmax,constrained,42,5,0.8628182051941373,0.8717848791893998,0.8672783665029724,0.8678774912262397,0.8364174685418209,0.8801872738880613,0.8870277312488368,160.11635584695205,5.230320930480957,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/a20_xlmr_base_bio_constrained_s1-offsetfix-mlflow-r2
a21_xlmr_base_bioes_constrained_s1-offsetfix-mlflow-r2,uzner,FacebookAI/xlm-roberta-base,e73636d4f797dec63c3081bb6ed5c7b0bb3f2089,512,bioes,softmax,constrained,42,5,0.869766842715445,0.8771109379059496,0.8734234525580492,0.8739320533045304,0.8438081071030122,0.8858057630736392,0.8921822897369395,79.01590296005475,5.230429649353027,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/a21_xlmr_base_bioes_constrained_s1-offsetfix-mlflow-r2
a22_xlmr_base_bio_crf_s1-offsetfix-mlflow-r2,uzner,FacebookAI/xlm-roberta-base,e73636d4f797dec63c3081bb6ed5c7b0bb3f2089,512,bio,crf,crf,42,5,0.865784741844336,0.8756819953234607,0.8707052441229657,0.8712088777177823,0.8491887905604719,0.8809931506849316,0.8834446919079436,60.77264482198708,5.230329513549805,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/a22_xlmr_base_bio_crf_s1-offsetfix-mlflow-r2
a23_xlmr_base_bioes_crf_s1-offsetfix-mlflow-r2,uzner,FacebookAI/xlm-roberta-base,e73636d4f797dec63c3081bb6ed5c7b0bb3f2089,512,bioes,crf,crf,42,5,0.8727413526071244,0.8784099766173032,0.8755664897060728,0.8761905668099202,0.850489743115875,0.8883651167773731,0.8897168405365127,57.3903552031256,5.230440616607666,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/a23_xlmr_base_bioes_crf_s1-offsetfix-mlflow-r2
s20_mdeberta_v3_base_bioes_constrained_s2-sequence-v1,uzner,microsoft/mdeberta-v3-base,a0484667b22365f84929a935b5e50a51f71f159d,512,bioes,softmax,constrained,42,5,0.890699166132136,0.9019225772928033,0.8962757374298069,0.8969147254575613,0.8666417631677249,0.9137120888509184,0.9103903243540407,62.057918130160054,7.035114288330078,complete,/home/danya/Рабочий стол/ИТМО/NER-Uzbek-Hack/runs/s20_mdeberta_v3_base_bioes_constrained_s2-sequence-v1
